RouteID,CustomerId,StopSequence,ETA,ETD
2aa92792-dcd0-4ba4-b9cc-33fb4e250853,21458,1,10:27:00,11:27:00
2aa92792-dcd0-4ba4-b9cc-33fb4e250853,21461,1,11:41:00,12:41:00
2aa92792-dcd0-4ba4-b9cc-33fb4e250853,21460,1,12:46:00,13:46:00
2aa92792-dcd0-4ba4-b9cc-33fb4e250853,21529,1,13:51:00,14:51:00
2aa92792-dcd0-4ba4-b9cc-33fb4e250853,21489,1,14:52:00,15:52:00
2aa92792-dcd0-4ba4-b9cc-33fb4e250853,21399,1,16:00:00,17:00:00
0403c58c-c3c9-4dcf-b92e-f960ab494d69,21280,1,07:40:00,08:40:00
0403c58c-c3c9-4dcf-b92e-f960ab494d69,21263,1,08:43:00,09:43:00
0403c58c-c3c9-4dcf-b92e-f960ab494d69,21270,1,09:44:00,10:44:00
0403c58c-c3c9-4dcf-b92e-f960ab494d69,21291,1,10:47:00,11:47:00
0403c58c-c3c9-4dcf-b92e-f960ab494d69,21265,1,11:47:00,12:47:00
0403c58c-c3c9-4dcf-b92e-f960ab494d69,21224,1,12:49:00,13:49:00
0403c58c-c3c9-4dcf-b92e-f960ab494d69,21282,1,13:51:00,14:51:00
0403c58c-c3c9-4dcf-b92e-f960ab494d69,21244,1,14:55:00,15:55:00
0403c58c-c3c9-4dcf-b92e-f960ab494d69,21284,1,16:00:00,17:00:00
78cda4ab-f6a9-4fb9-9f64-cb511eac202c,21258,1,16:00:00,17:00:00
c708020e-ddd4-4e98-ba3c-06a89ff763f8,21313,1,09:23:00,10:23:00
c708020e-ddd4-4e98-ba3c-06a89ff763f8,21322,1,10:38:00,11:38:00
c708020e-ddd4-4e98-ba3c-06a89ff763f8,21306,1,11:40:00,12:40:00
c708020e-ddd4-4e98-ba3c-06a89ff763f8,21364,1,12:43:00,13:43:00
c708020e-ddd4-4e98-ba3c-06a89ff763f8,21368,1,13:47:00,14:47:00
c708020e-ddd4-4e98-ba3c-06a89ff763f8,21380,1,14:56:00,15:56:00
c708020e-ddd4-4e98-ba3c-06a89ff763f8,21329,1,16:00:00,17:00:00
3998ff8d-c317-4a14-b29b-781194f6cdb0,21243,1,07:15:00,08:15:00
3998ff8d-c317-4a14-b29b-781194f6cdb0,21242,1,08:15:00,09:15:00
3998ff8d-c317-4a14-b29b-781194f6cdb0,21296,1,09:18:00,10:18:00
3998ff8d-c317-4a14-b29b-781194f6cdb0,21238,1,10:35:00,11:35:00
3998ff8d-c317-4a14-b29b-781194f6cdb0,21262,1,11:40:00,12:40:00
3998ff8d-c317-4a14-b29b-781194f6cdb0,21250,1,12:46:00,13:46:00
3998ff8d-c317-4a14-b29b-781194f6cdb0,21227,1,13:55:00,14:55:00
3998ff8d-c317-4a14-b29b-781194f6cdb0,21259,1,15:00:00,16:00:00
3998ff8d-c317-4a14-b29b-781194f6cdb0,21237,1,16:00:00,17:00:00
2bb5c626-8a65-4684-bf88-dcae00608247,21267,1,07:54:00,08:54:00
2bb5c626-8a65-4684-bf88-dcae00608247,21234,1,08:59:00,09:59:00
2bb5c626-8a65-4684-bf88-dcae00608247,21261,1,10:06:00,11:06:00
2bb5c626-8a65-4684-bf88-dcae00608247,21285,1,11:19:00,12:19:00
2bb5c626-8a65-4684-bf88-dcae00608247,21297,1,12:32:00,13:32:00
2bb5c626-8a65-4684-bf88-dcae00608247,21235,1,13:35:00,14:35:00
2bb5c626-8a65-4684-bf88-dcae00608247,21289,1,14:46:00,15:46:00
2bb5c626-8a65-4684-bf88-dcae00608247,21290,1,16:00:00,17:00:00
