RouteID,CustomerId,StopSequence,ETA,ETD
29875336-aa67-4ad8-ad12-fd7a30282f59,21556,1,10:14:00,11:14:00
29875336-aa67-4ad8-ad12-fd7a30282f59,21594,1,11:22:00,12:22:00
29875336-aa67-4ad8-ad12-fd7a30282f59,21618,1,12:31:00,13:31:00
29875336-aa67-4ad8-ad12-fd7a30282f59,21611,1,13:43:00,14:43:00
29875336-aa67-4ad8-ad12-fd7a30282f59,21232,1,14:52:00,15:52:00
29875336-aa67-4ad8-ad12-fd7a30282f59,21651,1,16:00:00,17:00:00
79fe6179-8c28-4982-a907-c4c93d8a9a12,21283,1,08:06:00,09:06:00
79fe6179-8c28-4982-a907-c4c93d8a9a12,21275,1,09:09:00,10:09:00
79fe6179-8c28-4982-a907-c4c93d8a9a12,21241,1,10:19:00,11:19:00
79fe6179-8c28-4982-a907-c4c93d8a9a12,21693,1,11:31:00,12:31:00
79fe6179-8c28-4982-a907-c4c93d8a9a12,21226,1,12:45:00,13:45:00
79fe6179-8c28-4982-a907-c4c93d8a9a12,21703,1,14:00:00,15:00:00
79fe6179-8c28-4982-a907-c4c93d8a9a12,21341,1,15:00:00,16:00:00
79fe6179-8c28-4982-a907-c4c93d8a9a12,21334,1,16:00:00,17:00:00
2e860e21-6ffe-4558-9b11-c5aa147bc61f,21258,1,16:00:00,17:00:00
45992c76-6027-4648-b7dc-f9f8683780e3,21321,1,09:13:00,10:13:00
45992c76-6027-4648-b7dc-f9f8683780e3,22355,1,10:25:00,11:25:00
45992c76-6027-4648-b7dc-f9f8683780e3,21286,1,11:30:00,12:30:00
45992c76-6027-4648-b7dc-f9f8683780e3,21299,1,12:35:00,13:35:00
45992c76-6027-4648-b7dc-f9f8683780e3,21266,1,13:39:00,14:39:00
45992c76-6027-4648-b7dc-f9f8683780e3,21222,1,14:48:00,15:48:00
45992c76-6027-4648-b7dc-f9f8683780e3,21229,1,16:00:00,17:00:00
8f10a4a1-6ab9-48e3-97d6-53f51d0e9fc0,21282,1,08:27:00,09:27:00
8f10a4a1-6ab9-48e3-97d6-53f51d0e9fc0,21244,1,09:31:00,10:31:00
8f10a4a1-6ab9-48e3-97d6-53f51d0e9fc0,21284,1,10:36:00,11:36:00
8f10a4a1-6ab9-48e3-97d6-53f51d0e9fc0,21267,1,11:45:00,12:45:00
8f10a4a1-6ab9-48e3-97d6-53f51d0e9fc0,21234,1,12:50:00,13:50:00
8f10a4a1-6ab9-48e3-97d6-53f51d0e9fc0,21249,1,13:57:00,14:57:00
